ID,Username,Author ID,Date,Time,Retweets,Favorites,Text,Mentions,Hashtags,Permalink,URL
20374957766742018,JohnRocha_ itsmecarolis,132536432,2010-12-30,12:35,0,0,"""@Carolllinarm It's good that it's over, now what reigns is #TheSimpsons""",@Carolllinarm,#TheSimpsons,https://twitter.com/JohnRocha_/status/20374957766742018,-
20369347771895809,KatarinaKaneff,7889102,2010-12-30,12:13,0,0,"""I am watching The Simpsons http://bit.ly/c1PuHh #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/KatarinaKaneff/status/20369347771895809,-
20364848336478208,Lexx_Mill,81202914,2010-12-30,11:55,0,0,"""#Watching #TheSimpsons""",-,#Watching #TheSimpsons,https://twitter.com/Lexx_Mill/status/20364848336478208,-
20364292184346624,RitoCerv,89086181,2010-12-30,11:53,0,0,"""#thesimpsons do not disturb, fox""",-,#thesimpsons,https://twitter.com/RitoCerv/status/20364292184346624,-
20360660810473472,Jeysonlora,42333596,2010-12-30,11:38,0,0,"""Ujai ujai I already want to allude with mushrooms in my room to be (8) #TheSimpsons""",-,#TheSimpsons,https://twitter.com/Jeysonlora/status/20360660810473472,-
20346365003431936,RitoCerv,89086181,2010-12-30,10:42,0,0,"""We start with it's night and it arrives and we end with #thesimpsons!""",-,#thesimpsons,https://twitter.com/RitoCerv/status/20346365003431936,-
20344950633799680,WankyJackie,106003778,2010-12-30,10:36,0,0,"""#TheSimpsons""",-,#TheSimpsons,https://twitter.com/WankyJackie/status/20344950633799680,-
20340702277799936,RitoCerv,89086181,2010-12-30,10:19,0,0,"""Haha #thesimpsons time! @fani_cervantes""",@fani_cervantes,#thesimpsons,https://twitter.com/RitoCerv/status/20340702277799936,-
20338777432006656,_jbradley,17865336,2010-12-30,10:11,0,0,""""Ah cartoons. America's only native art form. I don't count jazz cause it sucks." #TheSimpsons""",-,#TheSimpsons,https://twitter.com/_jbradley/status/20338777432006656,-
20337744832110592,shamexfftl,18203946,2010-12-30,10:07,0,0,"""Man getting hit by football. #thesimpsons http://j.mp/fqwvVN LOL""",-,#thesimpsons,https://twitter.com/shamexfftl/status/20337744832110592,-
20334504820346880,Bensingsforyou,86895813,2010-12-30,09:54,0,0,"""#thesimpsons Has changed heaps, I remember seeing my first episode at 5 Years old! and it has gone so far. It's all in HD Now, WOW!""",-,#thesimpsons,https://twitter.com/Bensingsforyou/status/20334504820346880,-
20334156630200320,emerysparkles,9397422,2010-12-30,09:53,0,0,"""I am watching The Simpsons http://bit.ly/hrDJgB #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/emerysparkles/status/20334156630200320,-
20333765578465280,MagferMariana,72718829,2010-12-30,09:52,0,0,"""Have you sofa #TheSimpsons""",-,#TheSimpsons,https://twitter.com/MagferMariana/status/20333765578465280,-
20331473823342592,KevinAllensays,31364990,2010-12-30,09:42,0,0,"""It's really hard to make out with #TheSimpsons on.""",-,#TheSimpsons,https://twitter.com/KevinAllensays/status/20331473823342592,-
20328488300974080,paulotoronto,111753791,2010-12-30,09:31,0,0,"""Time to see if Ralph has found any more "moon rocks" up his nose. http://bit.ly/aTD3nU #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/paulotoronto/status/20328488300974080,-
20327699155255296,sweetappl3s,62728063,2010-12-30,09:27,0,0,"""On her the titrarine titriarririn ... # philippine # theme""",-,#thesimpsons #theme,https://twitter.com/sweetappl3s/status/20327699155255296,-
20327237983145984,andoreh,38925894,2010-12-30,09:26,0,0,"""watching #TheSimpsons on an ep. Meg becomes an architect * _____ *""",-,#TheSimpsons,https://twitter.com/andoreh/status/20327237983145984,-
20323087463485440,sharjem,15649296,2010-12-30,09:09,0,0,"""Also, that Mel Gibson ep of #thesimpsons , unlike most of the show, is horribly dated by now. Who could've foreseen?""",-,#thesimpsons,https://twitter.com/sharjem/status/20323087463485440,-
20322944660017152,itzSayKriDD,43352089,2010-12-30,09:09,0,0,"""Who remembers that oldddd skool #TheSimpsons game? Can't remember what console, maybe #MegaDrive was so dope!!""",-,#TheSimpsons #MegaDrive,https://twitter.com/itzSayKriDD/status/20322944660017152,-
20320972989009922,xabitwit,111223948,2010-12-30,09:01,0,0,""""@CAKEMIR: RT @JayMaverik: I'm not bad inside ... but my layers of evil reach almost to the center / basic #TheSimpsons" ::: jiji""",@CAKEMIR @JayMaverik,#TheSimpsons,https://twitter.com/xabitwit/status/20320972989009922,-
20318294842023936,outcastja,122213711,2010-12-30,08:50,0,0,"""I am watching The Simpsons http://bit.ly/i87nKV #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/outcastja/status/20318294842023936,-
20310971792756736,JeniuskaFranco,210986650,2010-12-30,08:21,0,0,"""I'm going to see #TV #Thesimpsons> _ <""",-,#TV #Thesimpsons,https://twitter.com/JeniuskaFranco/status/20310971792756736,-
20310589410648064,mister_ward,56837019,2010-12-30,08:19,0,0,"""THEN YOU ARE A WOMAN WHO LIKES A WOMAN? #thesimpsons""",-,#thesimpsons,https://twitter.com/mister_ward/status/20310589410648064,-
20307939982053376,STFUNICK,29076828,2010-12-30,08:09,0,0,""""Bart! You're no longer in Sunday school, don't swear!" -Marge Simpson #Marge #TheSimpsons""",-,#Marge #TheSimpsons,https://twitter.com/STFUNICK/status/20307939982053376,-
20306153137242112,MeEncantaLanza,216232023,2010-12-30,08:02,0,0,"""Finished #crepusculo !! It's so perfect * ---- * Now I'm watching #TheSimpsons !! Hehe '""",-,#crepusculo #TheSimpsons,https://twitter.com/MeEncantaLanza/status/20306153137242112,-
20305984803049472,rainemalcom,202718466,2010-12-30,08:01,0,0,"""I'm #watching #TheSimpsons via @playPHILO http://phi.tv/fxANNX""",@playPHILO,#watching #TheSimpsons,https://twitter.com/rainemalcom/status/20305984803049472,-
20305733593604096,UnTalGabrieel,106491648,2010-12-30,08:00,0,0,"""#NowWatching #TheSimpsons""",-,#NowWatching #TheSimpsons,https://twitter.com/UnTalGabrieel/status/20305733593604096,-
20305215815163905,luisjgomzc,122190489,2010-12-30,07:58,0,0,"""#TheSimpsons""",-,#TheSimpsons,https://twitter.com/luisjgomzc/status/20305215815163905,-
20304902077026304,zerafine77,225595987,2010-12-30,07:57,0,0,"""Watching #thesimpsons xD""",-,#thesimpsons,https://twitter.com/zerafine77/status/20304902077026304,-
20304753602854913,LPsoldier0303,106603117,2010-12-30,07:56,0,0,"""At joes =D http://bit.ly/e2rjNU #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/LPsoldier0303/status/20304753602854913,-
20304607985008640,UnTalGabrieel,106491648,2010-12-30,07:56,0,0,""": or in this episode maggie I speak #TheSimpsons""",-,#TheSimpsons,https://twitter.com/UnTalGabrieel/status/20304607985008640,-
20299297589305344,mister_ward,56837019,2010-12-30,07:35,0,0,"""I'm going to watch #thesimpsons""",-,#thesimpsons,https://twitter.com/mister_ward/status/20299297589305344,-
20299029791379456,potterdown1736,104226847,2010-12-30,07:34,0,0,"""#TheSimpsons * - * finally something good on tv .. haha""",-,#TheSimpsons,https://twitter.com/potterdown1736/status/20299029791379456,-
20299005464412160,UnTalGabrieel,106491648,2010-12-30,07:33,0,0,"""#Watching #TheSimpsons""",-,#Watching #TheSimpsons,https://twitter.com/UnTalGabrieel/status/20299005464412160,-
20294338550439936,FreddyMalave,52739595,2010-12-30,07:15,0,0,"""Watching #thesimpsons""",-,#thesimpsons,https://twitter.com/FreddyMalave/status/20294338550439936,-
20289455579463681,UnTalGabrieel,106491648,2010-12-30,06:55,0,0,"""#Twitterpause a ver #Thesimpsons !""",-,#Twitterpause #Thesimpsons,https://twitter.com/UnTalGabrieel/status/20289455579463681,-
20280204744200192,markaedsall,58890558,2010-12-30,06:19,0,0,"""I am watching The Simpsons http://bit.ly/i9VGcR #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/markaedsall/status/20280204744200192,-
20280004109668352,meliphernelia,203462655,2010-12-30,06:18,0,0,"""Im watching #TheSimpsons lol""",-,#TheSimpsons,https://twitter.com/meliphernelia/status/20280004109668352,-
20278923900231680,Relyna04,30486503,2010-12-30,06:14,0,0,"""I am watching The Simpsons http://bit.ly/gZMZKr #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/Relyna04/status/20278923900231680,-
20278532089315328,LakyshaLove,33231941,2010-12-30,06:12,0,0,""""What are u a travel agent because ur sending me on a guilt trip" #TheSimpsons""",-,#TheSimpsons,https://twitter.com/LakyshaLove/status/20278532089315328,-
20277043602137088,LakyshaLove,33231941,2010-12-30,06:06,0,0,"""They took Maggie's pacifier and now she fuckin this house up on #TheSimpsons""",-,#TheSimpsons,https://twitter.com/LakyshaLove/status/20277043602137088,-
20272914603446272,jimmysweeney01,202370064,2010-12-30,05:50,0,0,"""I'm #watching #TheSimpsons via @playPHILO http://phi.tv/d3KW8W""",@playPHILO,#watching #TheSimpsons,https://twitter.com/jimmysweeney01/status/20272914603446272,-
20272904843296768,TyRawrrnosaurus,222244427,2010-12-30,05:50,0,0,"""I call the Flintstone phone! #WinningFirstChoiceOfToyForFreePlayIsAwesome ! #thesimpsons""",-,#WinningFirstChoiceOfToyForFreePlayIsAwesome #thesimpsons,https://twitter.com/TyRawrrnosaurus/status/20272904843296768,-
20271604722311169,Geek_E,37525260,2010-12-30,05:45,0,0,"""Watching #TheSimpsons ...lol""",-,#TheSimpsons,https://twitter.com/Geek_E/status/20271604722311169,-
20270815324938240,AndresMars,225875883,2010-12-30,05:41,0,0,"""#TheSimpsons Stated :D""",-,#TheSimpsons,https://twitter.com/AndresMars/status/20270815324938240,-
20268947186122752,Kimberly_Jade,16910563,2010-12-30,05:34,0,0,"""Mmmmmm beer-battered German's #thesimpsons""",-,#thesimpsons,https://twitter.com/Kimberly_Jade/status/20268947186122752,-
20266230401212417,AlfredoBaute,41867442,2010-12-30,05:23,0,0,"""#TheSimpsons Time http://twitpic.com/3kzy45""",-,#TheSimpsons,https://twitter.com/AlfredoBaute/status/20266230401212417,-
